"","int","prevalence","precision","cpe","sta.cpe","fsd","sta.fsd","mip","sta.mip","stability"
"96","m_ppt+_pag+",0.0832969521940922,0.509393912492585,0.0395924998912264,1,0.00172537276564859,0.6,-0.0459536789582231,0,0.1
"97","pdev_low+_ppt-",0.166417909815284,0.501868528940505,0.0094836178122359,0.7,0.0258463073600634,1,-0.0758188535893533,0,0.6
"98","m_tmean+_tmean-",0.195366956875515,0.490183434582474,-0.0372625489125416,0,0.0251781372276068,1,-0.153768674693566,0,1
"99","ppt-_pres+",0.158725120842791,0.488256558813229,-0.0449754967623524,0,0.0246884770635603,1,-0.074643014163228,0,0.7
"100","pdev_low-_ppt-",0.195360878241903,0.487835529469502,-0.0466631865101301,0,0.104145456158392,1,-0.0489720458032227,0,0.4
"101","medyr_built+_ppt-",0.169829550544586,0.485497517511082,-0.0560189926835515,0,0.0896047158750617,1,-0.0540070854011854,0,0.9
"102","ppt-_pservice+",0.244658037208954,0.482345371356458,-0.0686396577839087,0,0.0461134726722615,1,-0.0798343528323737,0,1
"103","m_ppt+_ppt-",0.229564974522106,0.481064022218878,-0.0737727273664396,0,-0.00807469963196943,0.2,-0.103146439377427,0,1
"104","pcountyrd+_ppt-",0.120314356544349,0.478882146982707,-0.0825185380846805,0,0.0788908356241564,1,-0.0672842742422375,0,0.2
"105","pag-_tmean-",0.0749066659631588,0.476892304177795,-0.0904945521428233,0,0.043216161556709,1,-0.163992905916799,0,0.2
"106","m_tmean+_psoilA+",0.102140692592352,0.475913673702501,-0.0944179912936864,0,-0.0309371875633893,0,-0.183346648787982,0,0.3
"107","m_ppt-_ppt-",0.157210008280283,0.474330152029429,-0.100763271235554,0,0.082400634100708,1,-0.0157397674858007,0,0.3
"108","m_tmean+_pgreen+",0.0872019116512071,0.469967913557684,-0.118272287837021,0,-0.0413136110350389,0,-0.195917051149784,0,0.5
"109","psoilC-_tmean+",0.0873426614030498,0.456390101926708,-0.172883650865265,0,-0.0567546809363656,0,-0.224805136082933,0,0.2
"110","m_tmean+_psoilC-",0.131130336281217,0.454736534259311,-0.179554100267567,0,-0.0093306644037187,0.2,-0.228866031652072,0,0.8
"111","pag+_ppt-",0.14455942006706,0.450490346404719,-0.196687288851784,0,0.0685392283751373,1,-0.05291811770118,0,0.2
"112","pcountyrd+_tmean-",0.0445116950304019,0.444162846220252,-0.222302470504729,0,-0.00492684499982636,0.4,-0.142585117513328,0,0
"113","pservice+_tmean-",0.0950677873554747,0.428898865399631,-0.284357617000412,0,0.0109097472180152,0.8,-0.197316016035714,0,0.1
"114","pgreen+_pservice+",0.0404007836086591,0.425004329880984,-0.300290893390287,0,-0.104315513272428,0,-0.206468043074282,0,0.2
"115","m_tmean+_med_high+",0.0629313755674357,0.420421001718506,-0.319054209065476,0,-0.0641310704320583,0,-0.307324232582131,0,0.5
"116","m_ppt+_med_high+",0.0347702576982507,0.407314154158379,-0.373108715117937,0,0.0583782138584191,1,-0.269622351935145,0,0
"117","ppt-_psoilC-",0.107210141468136,0.371147194630731,-0.525331566164493,0,0.0205908132782559,1,-0.230561936415207,0,0.1
